"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"k-NN 1 (knn)",0.9125,0.928125,0.95,0.950416666666667,0.9625,0.9875,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"k-NN 2 (kknn)",0.8875,0.9375,0.95625,0.954166666666667,0.975,0.9875,0,"00:00:13",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Naive Bayes 1 (nb)",0.825,0.8875,0.9,0.902083333333333,0.925,0.9875,0,"00:00:09",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Naive Bayes 2 (naive_bayes)",0.825,0.8875,0.90625,0.901666666666667,0.9125,0.95,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.875,0.95,0.975,0.965833333333333,0.975,1,0,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"RNA 2 (mlp)",0.9,0.95,0.9625,0.965833333333333,0.99375,1,0,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"RNA 3 (mlpML)",0.875,0.95,0.975,0.964166666666667,0.975,1,0,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 1 (svmRadial)",0.875,0.95,0.975,0.964166666666667,0.975,1,0,"00:00:03",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 2 (svmRadialWeights)",0.9,0.95,0.975,0.966666666666667,0.99375,1,0,"00:00:08",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 3 (svmPoly)",0.925,0.95,0.975,0.966666666666667,1,1,0,"00:00:24",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 1 (rpart)",0.85,0.925,0.95,0.939166666666667,0.975,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 2 (rpart1SE)",0.825,0.9,0.925,0.925833333333333,0.95,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 3 (rpart2)",0.85,0.925,0.95,0.94,0.96875,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Decision Trees 1 (C5.0)",0.9,0.95,0.95,0.9575,0.975,1,0,"00:00:10",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Decision Trees 2 (C5.0Rules)",0.9,0.925,0.95,0.940833333333333,0.95,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Decision Trees 3 (C5.0Tree)",0.85,0.925,0.95,0.943333333333333,0.96875,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Random Forest 1 (rf)",0.9,0.95,0.975,0.966666666666667,1,1,0,"00:00:14",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Random Forest 2 (cforest)",0.875,0.925,0.95,0.956666666666667,0.975,1,0,"00:00:52",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
