"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"Decision Trees 3 (C5.0Tree)",0.948616600790514,0.960513211540257,0.968379446640316,0.968258492556678,0.972413712613987,0.984251968503937,0,"00:00:06",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 1 (rf)",0.956521739130435,0.968316460442445,0.980237154150198,0.977349446931782,0.984189723320158,1,0,"00:01:41",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 2 (cforest)",0.956521739130435,0.969340140535793,0.976331268868071,0.975374706126161,0.984126984126984,0.992094861660079,0,"00:17:34",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 3 (parRF)",0.960629921259842,0.973296630905327,0.980237154150198,0.97840295490073,0.984174038521865,0.992094861660079,0,"00:01:42",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"k-NN 1 (knn)",0.940711462450593,0.964426877470356,0.968503937007874,0.970898738118868,0.98029550900999,0.992094861660079,0,"00:00:04",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"k-NN 2 (kknn)",0.956521739130435,0.968379446640316,0.976237530585357,0.974971705611897,0.980237154150198,0.992094861660079,0,"00:00:42",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 1 (nb)",0.897233201581028,0.909090909090909,0.920948616600791,0.921636874606748,0.93293807024122,0.952569169960474,0,"00:00:25",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 2 (naive_bayes)",0.889328063241107,0.909090909090909,0.920948616600791,0.921502981593704,0.935770750988142,0.948412698412698,0,"00:00:03",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.9375,0.9625,0.96875,0.967916666666667,0.975,0.9875,0,"00:00:36",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"RNA 2 (mlp)",0.93125,0.95625,0.965625,0.964791666666667,0.975,0.99375,0,"00:00:22",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
